,bullet,blitz,rapid,classical,correspondence
2021-12-14,25,0,0,0,0
2021-12-15,24,0,0,0,1
2021-12-16,36,0,0,0,0
2021-12-17,23,0,0,0,0
2021-12-18,28,0,0,0,1
2021-12-19,10,0,0,0,0
2021-12-20,21,0,0,0,0
2021-12-21,8,0,0,0,1
2021-12-22,5,0,0,0,0
2021-12-23,6,0,0,0,0
2021-12-24,35,0,0,0,1
2021-12-25,29,0,0,0,0
2021-12-26,26,0,0,0,0
2021-12-27,11,3,0,0,1
2021-12-28,11,0,0,0,0
2021-12-29,23,0,0,0,1
2021-12-30,19,0,0,0,0
2021-12-31,20,0,0,0,1
2022-01-01,8,0,0,0,1
2022-01-02,3,0,0,0,0
2022-01-03,1,0,0,0,1
2022-01-04,7,0,0,0,0
2022-01-05,5,0,0,0,1
2022-01-06,2,0,0,0,0
2022-01-07,6,1,0,0,1
2022-01-08,1,0,0,0,0
2022-01-09,0,0,0,0,0
2022-01-10,0,0,0,0,0
2022-01-11,9,0,0,0,1
2022-01-12,0,0,0,0,0
2022-01-13,0,0,0,0,1
2022-01-14,0,0,0,0,0
2022-01-15,0,0,0,0,0
2022-01-16,3,0,0,0,1
2022-01-17,0,0,0,0,0
2022-01-18,0,0,0,0,1
2022-01-19,0,0,0,0,1
2022-01-20,0,0,0,0,0
2022-01-21,0,1,0,0,1
2022-01-22,3,0,0,0,0
2022-01-23,0,0,0,0,0
2022-01-24,0,0,0,0,0
2022-01-25,0,0,0,0,1
2022-01-26,0,0,0,0,1
2022-01-27,1,0,0,0,0
2022-01-28,0,0,0,0,0
2022-01-29,0,0,0,0,1
2022-01-30,0,0,0,0,0
2022-01-31,0,0,0,0,1
2022-02-01,6,0,0,0,0
2022-02-02,0,0,0,0,0
2022-02-03,4,0,0,0,1
2022-02-04,4,0,0,0,0
2022-02-05,1,0,0,0,1
2022-02-06,2,0,0,0,0
2022-02-07,0,0,0,0,0
2022-02-08,3,0,0,0,1
2022-02-09,0,0,0,0,0
2022-02-10,0,0,0,0,0
2022-02-11,0,0,0,0,0
2022-02-12,0,0,0,0,1
2022-02-13,0,0,0,0,0
2022-02-14,0,0,0,0,1
2022-02-15,0,0,0,0,0
2022-02-16,0,0,0,0,0
2022-02-17,0,0,0,0,0
2022-02-18,0,0,0,0,0
2022-02-19,0,0,0,0,0
2022-02-20,17,0,0,0,1
2022-02-21,8,0,0,0,0
2022-02-22,0,0,0,0,1
2022-02-23,1,0,0,0,0
2022-02-24,17,4,0,0,1
2022-02-25,19,0,0,0,0
2022-02-26,49,0,0,0,1
2022-02-27,18,0,0,0,0
2022-02-28,10,0,0,0,0
2022-03-01,22,0,0,0,0
2022-03-02,3,0,0,0,1
2022-03-03,7,0,0,0,0
2022-03-04,2,0,0,0,0
2022-03-05,16,0,0,0,1
2022-03-06,9,0,0,0,0
2022-03-07,24,0,0,0,1
2022-03-08,13,0,0,0,0
2022-03-09,33,0,0,0,0
2022-03-10,20,0,0,0,0
2022-03-11,20,0,0,0,0
2022-03-12,8,0,0,0,0
2022-03-13,37,0,0,0,1
2022-03-14,27,0,0,0,1
2022-03-15,25,0,0,0,1
2022-03-16,25,0,0,0,0
2022-03-17,7,0,0,0,0
2022-03-18,17,0,0,0,1
2022-03-19,14,0,0,0,0
2022-03-20,46,0,0,0,1
2022-03-21,16,0,0,0,0
2022-03-22,22,0,0,0,1
2022-03-23,10,0,0,0,1
2022-03-24,14,0,0,0,0
2022-03-25,5,0,0,0,0
2022-03-26,13,0,0,0,1
2022-03-27,19,0,0,0,0
2022-03-28,6,0,0,0,0
2022-03-29,19,0,0,0,0
2022-03-30,13,0,0,0,1
2022-03-31,9,0,0,0,0
2022-04-01,15,0,0,0,0
2022-04-02,27,0,0,0,0
2022-04-03,11,0,0,0,0
2022-04-04,30,0,0,0,1
2022-04-05,17,0,0,0,0
2022-04-06,25,0,0,0,0
2022-04-07,20,0,0,0,0
2022-04-08,26,0,0,0,0
2022-04-09,18,0,0,0,0
2022-04-10,17,0,0,0,0
2022-04-11,20,0,0,0,0
2022-04-12,0,0,0,0,0
2022-04-13,19,0,0,0,0
2022-04-14,10,0,0,0,0
2022-04-15,24,0,0,0,0
2022-04-16,21,0,0,0,0
2022-04-17,10,0,0,0,1
2022-04-18,12,0,0,0,0
2022-04-19,0,0,0,0,0
2022-04-20,0,0,0,0,0
2022-04-21,3,0,0,0,0
2022-04-22,2,0,0,0,0
2022-04-23,6,0,0,0,1
2022-04-24,11,0,0,0,0
2022-04-25,12,0,0,0,0
2022-04-26,5,0,0,0,0
2022-04-27,5,0,0,0,1
2022-04-28,11,0,0,0,0
2022-04-29,1,0,0,0,0
2022-04-30,1,0,0,0,0
2022-05-01,11,0,0,0,1
2022-05-02,3,0,0,0,0
2022-05-03,8,0,0,0,0
2022-05-04,13,0,0,0,0
2022-05-05,6,0,0,0,0
2022-05-06,4,0,0,0,1
2022-05-07,5,0,0,0,0
2022-05-08,15,0,0,0,0
2022-05-09,1,0,0,0,0
2022-05-10,10,0,0,0,0
2022-05-11,3,0,0,0,0
2022-05-12,4,0,0,0,0
2022-05-13,0,0,0,0,0
2022-05-14,3,0,0,0,0
2022-05-15,1,0,0,0,1
2022-05-16,9,0,0,0,0
2022-05-17,3,0,0,0,0
2022-05-18,2,0,0,0,0
2022-05-19,3,0,0,0,0
2022-05-20,4,0,0,0,0
2022-05-21,0,0,0,0,0
2022-05-22,8,0,0,0,0
2022-05-23,16,0,0,0,0
2022-05-24,9,0,0,0,0
2022-05-25,0,0,0,0,0
2022-05-26,0,0,0,0,1
2022-05-27,0,0,0,0,0
2022-05-28,0,0,0,0,0
2022-05-29,4,0,0,0,1
2022-05-30,8,0,0,0,0
2022-05-31,4,0,0,0,0
2022-06-01,0,0,0,0,0
2022-06-02,0,0,0,0,0
2022-06-03,0,0,0,0,0
2022-06-04,0,0,0,0,0
2022-06-05,2,0,0,0,0
2022-06-06,8,0,0,0,0
2022-06-07,0,0,0,0,0
2022-06-08,0,0,0,0,0
2022-06-09,3,0,0,0,0
2022-06-10,3,0,0,0,0
2022-06-11,2,0,0,0,0
2022-06-12,3,0,0,0,0
2022-06-13,3,0,0,0,0
2022-06-14,0,0,0,0,0
2022-06-15,2,0,0,0,1
2022-06-16,0,0,0,0,0
2022-06-17,5,0,0,0,0
2022-06-18,8,0,0,0,0
2022-06-19,5,0,0,0,0
2022-06-20,3,0,0,0,0
2022-06-21,0,0,0,0,0
2022-06-22,18,0,0,0,0
2022-06-23,14,3,0,0,1
2022-06-24,16,0,0,0,0
2022-06-25,11,0,0,0,0
2022-06-26,19,1,0,0,0
2022-06-27,4,0,0,0,0
2022-06-28,7,0,0,0,1
2022-06-29,20,0,0,0,0
2022-06-30,24,0,0,0,0
2022-07-01,16,0,0,0,0
2022-07-02,7,0,0,0,1
2022-07-03,17,0,0,0,0
2022-07-04,35,0,0,0,0
2022-07-05,22,0,0,0,0
2022-07-06,8,0,0,0,0
2022-07-07,14,0,0,0,0
2022-07-08,14,0,0,0,1
2022-07-09,33,0,0,0,0
2022-07-10,25,0,0,0,0
2022-07-11,25,0,0,0,0
2022-07-12,8,0,0,0,0
2022-07-13,4,0,0,0,1
2022-07-14,9,0,0,0,0
2022-07-15,8,0,0,0,0
2022-07-16,11,0,0,0,0
2022-07-17,13,0,0,0,0
2022-07-18,7,0,0,0,0
2022-07-19,17,0,0,0,0
2022-07-20,9,2,0,0,0
2022-07-21,11,0,0,0,1
2022-07-22,4,0,0,0,0
2022-07-23,12,0,0,0,0
2022-07-24,10,1,0,0,0
2022-07-25,6,1,0,0,1
2022-07-26,6,0,0,0,0
2022-07-27,8,0,0,0,0
2022-07-28,4,0,0,0,0
2022-07-29,5,0,0,0,0
2022-07-30,19,0,0,0,0
2022-07-31,35,0,0,0,0
2022-08-01,9,0,0,0,1
2022-08-02,11,0,0,0,0
2022-08-03,5,0,0,0,0
2022-08-04,2,0,0,0,0
2022-08-05,1,0,0,0,0
2022-08-06,19,0,0,0,0
2022-08-07,4,0,0,0,0
2022-08-08,5,0,0,0,0
2022-08-09,1,0,0,0,0
2022-08-10,8,0,0,0,1
2022-08-11,5,0,0,0,0
2022-08-12,1,0,0,0,0
2022-08-13,2,0,0,0,0
2022-08-14,18,0,0,0,0
2022-08-15,10,0,0,0,0
2022-08-16,8,0,0,0,0
2022-08-17,3,0,0,0,0
2022-08-18,1,0,0,0,0
2022-08-19,2,0,0,0,0
2022-08-20,2,3,0,0,0
2022-08-21,6,0,0,0,1
2022-08-22,1,0,0,0,0
2022-08-23,1,0,0,0,0
2022-08-24,11,0,0,0,0
2022-08-25,4,0,0,0,0
2022-08-26,10,0,0,0,0
2022-08-27,2,0,0,0,0
2022-08-28,12,0,0,0,0
2022-08-29,3,0,0,0,0
2022-08-30,4,0,0,0,0
2022-08-31,2,0,0,0,0
2022-09-01,0,0,0,0,1
2022-09-02,2,1,0,0,0
2022-09-03,0,0,0,0,0
2022-09-04,0,0,0,0,0
2022-09-05,0,0,0,0,0
2022-09-06,0,0,0,0,0
2022-09-07,0,0,0,0,0
2022-09-08,5,0,0,0,0
2022-09-09,0,0,0,0,0
2022-09-10,0,0,0,0,0
2022-09-11,3,0,0,0,0
2022-09-12,7,0,0,0,0
2022-09-13,0,0,0,0,0
2022-09-14,2,0,0,0,0
2022-09-15,1,0,0,0,0
2022-09-16,5,0,0,0,0
2022-09-17,2,0,0,0,1
2022-09-18,3,0,0,0,0
2022-09-19,1,0,0,0,0
2022-09-20,4,0,0,0,0
2022-09-21,2,0,0,0,0
2022-09-22,2,0,0,0,0
2022-09-23,0,0,0,0,1
2022-09-24,7,0,0,0,0
2022-09-25,3,0,0,0,0
2022-09-26,12,0,0,0,0
2022-09-27,10,0,0,0,0
2022-09-28,6,0,0,0,0
2022-09-29,4,0,0,0,0
2022-09-30,2,2,0,0,0
2022-10-01,1,0,0,0,1
2022-10-02,4,0,0,0,0
2022-10-03,0,0,0,0,0
2022-10-04,5,0,0,0,0
2022-10-05,6,0,0,0,0
2022-10-06,7,0,0,0,1
2022-10-07,14,0,0,0,0
2022-10-08,5,0,0,0,0
2022-10-09,27,5,0,0,0
2022-10-10,0,8,0,0,0
2022-10-11,0,3,0,0,0
2022-10-12,0,1,0,0,0
2022-10-13,0,2,0,0,0
2022-10-14,0,1,0,0,0
2022-10-15,0,3,0,0,0
2022-10-16,0,4,0,0,0
2022-10-17,0,0,0,0,0
2022-10-18,0,0,0,0,0
2022-10-19,0,0,0,0,1
2022-10-20,0,0,0,0,0
2022-10-21,0,0,0,0,0
2022-10-22,0,0,0,0,0
2022-10-23,12,0,0,0,0
2022-10-24,13,0,0,0,0
2022-10-25,8,0,0,0,0
2022-10-26,3,0,0,0,0
2022-10-27,4,0,0,0,0
2022-10-28,6,0,0,0,0
2022-10-29,3,0,0,0,0
2022-10-30,12,0,0,0,0
2022-10-31,1,0,0,0,0
2022-11-01,0,0,0,0,0
2022-11-02,0,0,0,0,1
2022-11-03,0,0,0,0,0
2022-11-04,0,0,0,0,0
2022-11-05,0,0,0,0,0
2022-11-06,2,0,0,0,0
2022-11-07,0,0,0,0,0
2022-11-08,0,0,0,0,0
2022-11-09,4,0,0,0,0
2022-11-10,3,0,0,0,0
2022-11-11,2,0,0,0,0
2022-11-12,0,2,0,0,0
2022-11-13,25,1,0,0,0
2022-11-14,16,0,0,0,0
2022-11-15,10,0,0,0,0
2022-11-16,2,0,0,0,0
2022-11-17,0,0,0,0,1
2022-11-18,7,0,0,0,0
2022-11-19,3,1,0,0,0
2022-11-20,14,0,0,0,0
2022-11-21,31,0,0,0,0
2022-11-22,14,0,0,0,1
2022-11-23,17,0,0,0,0
2022-11-24,16,0,0,0,0
2022-11-25,5,0,0,0,0
2022-11-26,10,0,0,0,0
2022-11-27,23,0,0,0,0
2022-11-28,10,0,0,0,0
2022-11-29,4,0,0,0,0
2022-11-30,9,0,0,0,0
2022-12-01,1,0,0,0,1
2022-12-02,0,0,0,0,0
2022-12-03,5,0,0,0,0
2022-12-04,1,0,0,0,0
2022-12-05,0,0,0,0,0
2022-12-06,4,0,0,0,0
2022-12-07,8,0,0,0,0
2022-12-08,0,0,0,0,0
2022-12-09,5,0,0,0,0
2022-12-10,0,0,0,0,0
2022-12-11,8,0,0,0,1
2022-12-12,7,0,0,0,0
2022-12-13,7,0,0,0,0
2022-12-14,0,0,0,0,0
2022-12-15,5,0,0,0,0
2022-12-16,0,0,0,0,0
2022-12-17,5,0,0,0,0
2022-12-18,0,0,0,0,0
2022-12-19,6,0,0,0,0
2022-12-20,0,0,0,0,0
2022-12-21,0,0,0,0,0
2022-12-22,3,0,0,0,0
2022-12-23,3,0,0,0,0
2022-12-24,15,0,0,0,0
2022-12-25,15,0,0,0,0
2022-12-26,19,0,0,0,0
2022-12-27,3,0,0,0,0
2022-12-28,3,0,0,0,0
2022-12-29,6,0,0,0,0
2022-12-30,10,0,0,0,0
2022-12-31,11,0,0,0,0
2023-01-01,3,0,0,0,0
2023-01-02,5,0,0,0,0
2023-01-03,11,0,0,0,0
2023-01-04,17,0,0,0,1
2023-01-05,21,0,0,0,0
2023-01-06,15,0,0,0,0
2023-01-07,6,0,0,0,0
2023-01-08,20,0,0,0,0
2023-01-09,0,0,0,0,0
2023-01-10,11,0,0,0,0
2023-01-11,5,0,0,0,0
2023-01-12,13,0,0,0,0
2023-01-13,26,0,0,0,0
2023-01-14,15,0,0,0,0
2023-01-15,52,0,0,0,0
2023-01-16,40,0,0,0,0
2023-01-17,8,0,0,0,0
2023-01-18,31,0,0,0,0
2023-01-19,7,0,0,0,0
2023-01-20,23,0,0,0,0
2023-01-21,16,0,0,0,0
2023-01-22,28,0,0,0,0
2023-01-23,5,0,0,0,0
2023-01-24,9,0,0,0,0
2023-01-25,0,0,0,0,0
2023-01-26,24,0,0,0,0
2023-01-27,12,0,0,0,0
2023-01-28,58,0,0,0,0
2023-01-29,43,0,0,0,0
2023-01-30,25,0,0,0,0
2023-01-31,13,0,0,0,0
